Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse
Wonderful,Exceptionally friendly service of hotel and restarant in same building. Attention and service superb.,,9.0,Sigitas,Lithuania,Suite with Balcony,1 night,June 2022,Family,
will definitely stay again,"location, clean and very good value",all was good nothing bad to say,9.0,Michelle,United Kingdom,Double Room with Balcony,1 night,May 2022,Couple,
Wonderful,"very friendly staff, rooms were clean and ideally situated for the airport",,9.0,Allan,Cyprus,Double Room with Balcony,1 night,May 2022,Couple,
Exceptional,"Great location for a late flight, everything was clean and nice in the room. We arrived late and got great instructions on how to get in on our own. Terrific late breakfast at the café downstairs, the manager catered to our every need",Nothing. Great for the price and our purpose of a late night flight arrival,10.0,Baldur,Iceland,Two-Bedroom Suite,1 night,May 2022,Family,
"Arrived at 11pm after a long flight, was shown immediately to our room, the staff showed us how to get back in if the fr","Beautiful property, super clean, rooms where really spacious and fresh and clean. Breakfast was amazing in a beautiful setting and the management are wonderful.",liked everything a little far from local shop but have everything we need in the cafe.,9.0,Leah,United Kingdom,Suite with Balcony,1 night,May 2022,Family,
superb accommodation in a great location,"great location for bars, restaurants and beach at a very good rate for the excellent standard of accommodation",nothing all good,10.0,Mark,United Kingdom,Double Room with Balcony,3 nights,May 2022,Couple,
It was a pleasant stay,"Great location with very welcoming staff, and very clean",,10.0,Marwan,Jordan,Double Room with Balcony,4 nights,May 2022,Solo traveler,
Good spot in Larnaca,"Modern hotel with good facilities. Although small, the room was comfortable. However, the bathroom was a good size and well appointed. Breakfast as an extra was good.
The hotel is about 100m from the 425 bus route which runs to the airport, about 10 minutes away. A ticket costs 2 Euros, a far better option than paying 15 Euros for a taxi.",Nothing,10.0,David,Australia,Double Room,1 night,May 2022,Solo traveler,
"lovely, staff very helpful",clean and comfortable,,10.0,Caren,United Kingdom,Double Room,1 night,May 2022,Group,
close to Airport,close to the airport,"stingy smell from the bathroom
quite small room",8.0,Yoojin,Finland,Double Room,1 night,May 2022,Couple,
Very Good,Light and airy and clean room. Not far from the sea.,There should be a safety strip on the step to each floor coming up the stairs. You are unaware of it and could possibly trip as I did.,8.0,Nicholas,United Kingdom,Double Room,2 nights,May 2022,Solo traveler,
Exceptional,"Thank you so much for a very warm welcome and comfortable stay. The hotel manager was reachable at all times due to my flight times and further delays. I couldn't have asked for more informative and reassuring service. 5 star service!
The location is very nice of this hotel due to such close proximity to the beach and restaurants. 
Most importantly it is very clean! All in all, awesome!",Nothing,10.0,Anna,United Kingdom,Double Room with Balcony,2 nights,May 2022,Solo traveler,
would definitely recommend! close to nice beach strip and airport and very clean and comfy bed,"spacious room and minifridge; large bathroom; very clean and comfy bed and lovely little balcony; staff was very friendly and lend me an adaptor several times. 
i didnt want to be in the center so for me the location was perfect! walking distance to airport and close to the more luxurious beach strip with delicious restaurants.","for the price that it was, it only had some random unlabeled shampoo dispenser attached to the shower wall. dont know if it was body or hair shampoo but it wasnt very nice at all, and seemed a little cheap considering the hotel cost.",9.0,Lauralaura,Belgium,Double Room,1 night,May 2022,Solo traveler,
Exceeds your expectations,"Very clean, comfortable and pleasant! The staff were very accommodating and kind. We will definitely come again! highly recommended!",nothing!,8.0,Tatiana,Cyprus,Double Room with Balcony,1 night,May 2022,Group,
Excellent,Very modern clean beautifully kept hotel near beaches and restaurants,All good,10.0,Melanie,United Kingdom,Double Room with Balcony,1 night,May 2022,Couple,
would recommend it very good for short stay.,,nothing,8.0,Georges,Lebanon,Double Room with Balcony,1 night,May 2022,Couple,
The best experience we could have asked for,"We booked this hotel last minute and we were extremely happy with the service. They have great staff, are very welcoming and the restaurant at floor level is awesome - Richard is a great chef and his friendliness will make you want to extend your vacation for sure. We felt like we were part of their community and this is due to their opennes. The room was extremely clean and their room service makes sure to keep it this way, All in all, the best experience we could have asked for",Nothing we can think of,10.0,Andrei,Romania,Double Room with Balcony,7 nights,May 2022,Couple,
"Friendly staff, clean and modern rooms, great value. We’d definitely stay again","The owners were very friendly and helpful. The hotel is small, which we liked, and is about 10 minutes from the airport.  The rooms were a nice size, very clean, and modern. We had both a family room and a double room, and they were perfect for our quick stay.  The taxi driver had a hard time finding it to drop us off, as it’s amongst several apartment buildings on a small side street.  That’s the only negative. We also had dinner there, and the food was very good and the chef  was very friendly. We’ll stay again if we travel to Larnaca in the future.","The location is a bit hard to find. The taxi drivers GPS had trouble finding it, but eventually we did. It’s amongst several apartment buildings on a small side street.",9.0,Cynthia,United States of America,Double Room with Balcony,1 night,May 2022,Family,
simply fantastic,cleanliness,very good location,10.0,Jose,United Kingdom,Double Room with Balcony,1 night,May 2022,Couple,
Would absolutely stay again,"Absolutely everything was great!!!!!!!!!  Staff super kind, professional, polite and helpful. Bed was soooooooo comfortable, I didn't want to leave my room!! Also thank you for taxi, it arrived right in time!","Lack of decent TV channels, only in the evening (past 9 pm) you can actually find something to watch. There are only ~10 channels, half in Greek and half in Russian, and maybe one or two in English (in the evenings)",10.0,Diana,Czech Republic,Double Room with Balcony,1 night,May 2022,Solo traveler,
Wonderful,All,,9.0,Antony,Cyprus,Budget Twin Room,2 nights,May 2022,Couple,
This is a five star hotel in all respects.,"Our stay was just about perfect. This is one of the most impressive stays we ever had with a Booking.Com reservation.  The location allowed us to walk to the beach and restaurants.  The family that runs the hotel was incredibly friendly and very, very nice.  The rooms, lobby and restaurant were lovely; exceedlingly modern, and comfortable.  We ate dinner at the hotel because we were so impressed with ""chef Richard"" and the food was fabulous.   Were had cocktails on the lovely patio and had the chance to meet and chat with other guests.",,10.0,Bschleifer,United States of America,Double Room with Balcony,1 night,May 2022,Group,
"great cosy one night stay before going to airport, location for airport cannot be better",friendly staff,,10.0,Silvester,Slovenia,Double Room,1 night,May 2022,Couple,
Very handy for a night out at Mackenzie beach,Exceptionally clean and brand new. Breakfast was freshly made and delicious. Everyone very friendly,,8.0,Cathy,Cyprus,Double Room with Balcony,1 night,May 2022,Couple,
I go again for sure,cleanliness and quietness,nothing,9.0,Maha,Cyprus,Double Room,1 night,May 2022,Solo traveler,
Perfect gem close to the airport.,"Wonderful modern family run small hotel.  It’s very close to the airport which worked for us.  The rooms are spotless, the shower fantastic. The pictures are very true to life. The family were so helpful.  THANKYOU!",Nothing.,10.0,Roger,United Kingdom,Double Room with Balcony,2 nights,April 2022,Couple,
Nice hotel close to Larnaca airport,"Very cozy, modern, clean hotel close to the airport. The staff is super friendly and attentive. The room is spacious and new. The location is super convenient, only few steps from the beach. Highly recommended!",,10.0,Olga,Germany,Double Room with Balcony,1 night,May 2022,Couple,
"Close to the airport as we were in transit to another destination. The room was great, spotless, fresh and modern.",clean and modern,nothing,9.0,Amanda,United Kingdom,Double Room,1 night,May 2022,Couple,
Wonderful,"Very modern, clean hotel
Great location, quiet
Lovely staff",,9.0,Lorraine,United Kingdom,Double Room,1 night,April 2022,Couple,
Exceptional,"Great accommodation, wonderful staff, delicious food, tranquility! I heartily recommend it!",it wasn't like that!,10.0,Kata,Hungary,Double Room,2 nights,April 2022,Couple,
just the job when arriving at larnaca airport and needing to stay overnight,excellent location near airport then easy drive into larnaca. very friendly and helpful staff.,only thing was the bathroom floor got wet from the shower and became very slippery. needs two foot towels rather than just one.,10.0,Tom,United Kingdom,Double Room with Balcony,1 night,April 2022,Couple,
Wonderful,"Friendly staff, delicious breakfast. Very comfortable beds. 10 mins walk to Mackenzie Beach and 40 mins (3 km) walk to downtown on a nice promenade.",,9.0,Laszlo,Hungary,Suite with Balcony,3 nights,April 2022,Family,
Exceptional,Everything was clean and cozy. We were introduced very good in everything and we felt very good there!,,10.0,Phil,Germany,Family Suite with Balcony,1 night,April 2022,Group,
Exceptional,"Clean, great attentive staff, location.
We booked the hotel to facilitate a stop over due to a late flight into Larnaca before travelling onto our holiday villa. What a pleasant surprise. The hotel was close to the airport - 6 minutes by taxi (€20) - and we arrived late. The staff could not be more helpful and showed us to a really nice room with a balcony over the front of the hotel. We slept well in a comfy clean bed and had a terrific breakfast on the terrace before they arranged a car for us to get back to the airport to collect our hire car. Nice start to our holiday highly recommenced.",Nothing,10.0,Roger,United Kingdom,Double Room with Balcony,1 night,April 2022,Couple,
"lovely boutique hotel with super friendly staff and convenient location to beach, restaurants and the airport.",room was big enough with comfy beds for family of four; liked having a small balcony for outdoor space.,,10.0,Anita,Czech Republic,Family Suite with Balcony,1 night,April 2022,Family,
Pleasant stay,Friendly staff.clean and comfortable beds.,,8.0,Bahar,Cyprus,Standard Triple Room,1 night,April 2022,Family,
Great value for money,"Booked this as it was near the airport and we arrived at 11pm and didn’t seem worth paying for one night at the 5 star we stayed at for the rest of the holiday. 
Very warm welcome and very clean and comfortable- as good a hotel as I’ve stayed at for £50 a night.",,8.0,Line,United Kingdom,Double Room with Balcony,1 night,April 2022,Couple,
it’s was wonderful,it’s clean and very nice crew,,9.0,טוהר,Israel,Double Room,3 nights,April 2022,Couple,
Very Good,Helpful staff arranged a taxi for us from the airport to the hotel. The hotel was basic but clean and comfortable.,,8.0,Rohini,United Kingdom,Family Suite with Balcony,1 night,March 2022,Family,
"Ideal location, very comfortable, much nicer than we anticipated, very pleasant surprise. Very good.","La Veranda has been recently refurbished and the rooms and bathroom, were both modern and comfortable, balcony with sea view. Easy walk to Mackenzie Beach and short journey from airport. Good breakfast available if required, staff extremely helpful and friendly. Nothing to much trouble.",Nothing really.,10.0,Ian,United Kingdom,Double Room with Balcony,5 nights,April 2022,Couple,thank you so much for your nice detailed comments; we are happy that you had a nice stay. hope to see you another time.
"superb stay, lovely staff, wonderful food and very convenient for the airport and Larnaca","clean, super friendly, convenient",nothing,10.0,Esme,United Kingdom,Standard Triple Room,1 night,April 2022,Family,thank you so much; we are happy that you had a nice stay. hope to see you another time.
Great place near airport,"It was easy at the time to park car outside. Clean rooms, helpful staff.",,9.0,Olena,Ukraine,Double Room,3 nights,February 2022,Family,
I was very happy that I have chosen La Veranda Hotel,Location very convenient. Near the beach and the Restaurants. Public Bus station at 30 meters from the hotel. Also very close to the airport.,,10.0,Hikmat,Lebanon,Double Room,1 night,April 2022,Solo traveler,thank you so much for your nice review; we are happy that you had a nice stay. hope to see you another time.
Comfortable and clean,"La Veranda Hotel is very comfortable and clean.
The staff is very nice 😃
The Breakfast is so delicious
Great location !! Near Mackenzie beach and very close to the center.
I highly recommend😁",Nothing. All was great,10.0,Joe,Lebanon,Double Room,1 night,April 2022,Solo traveler,
Simply excellent,"It's my second time at La Veranda and I can honestly say that this is one of the best hotels in the region, if not the best. Would definitely recommend it!",,10.0,Charbel,France,Double Room,1 night,April 2022,Solo traveler,
La Veranda Hotel offers everything you need.,"I had a wonderful experience at the La Veranda Hotel. Every staff member I encountered, from the valet to the check- in to the cleaning staff were delightful and eager to help! Thank you! Will recommend to my colleagues!",,10.0,Dayane,Lebanon,Double Room,1 night,April 2022,Solo traveler,
So this was a big plus. The service was exceptional as well. Would definitely send a friend there.,"The rooms were clean, very comfortable, and the staff was amazing. They went over and beyond to help make my stay enjoyable. I highly recommend this hotel for anyone visiting downtown!!",,10.0,Dayane,Lebanon,Double Room,1 night,April 2022,Solo traveler,
5 mins from the beach,"friendly staff who allow you to check in the early hours of morning , 45 min walk to airport",locks on windows didn’t seem secure,8.0,Andrew,United Kingdom,Double Room with Balcony,2 nights,March 2022,Solo traveler,
Wonderful,"The staff is always very helpful, exceptional!","Wanted to have in the shower shampoo, body soap and hair conditioner. The staff explained that the dispancer in the shower holds 3 in 1. Really?!",9.0,Yogev,Israel,Double Room,4 nights,March 2022,Solo traveler,
The staff were wonderful and the hotel was lovely.,"The staff were wonderful, so friendly and welcoming and the food was superb. The hotel was clean and easy for the airport.",,9.0,Sophie,Austria,Double Room,1 night,March 2022,Couple,
Very Good,"The hotel is in a residential neighborhood of apartments and is modern.  The bed linens were wonderful and the mattress was neither too hard or soft.  Breakfast is not included in the hotel cost.  However, there is small restaurant within the hotel lobby that charged $10 euros for a very nice hot breakfast (no menu - you get whatever is served).  The hotel is approx 10 minute drive from the airport and 20 minute drive from the historical area.",,8.0,Timothy,United States of America,Double Room with Balcony,1 night,March 2022,Couple,
Convenient and perfect rooms for a family stay.,"Very smart, modern rooms and everything you need. Family feel and very friendly. Having a family suite was a big bonus and lots of space.",Immediate location wasn’t inspiring but lovely restaurants very close in the sea front and handy for Limassol and airport.,8.0,Katie,United Kingdom,Two-Bedroom Suite,1 night,February 2022,Family,
"Welcoming, reliable and a comfortable stay!","This hotel is in a great location for the airport and restaurants. The owner and staff are so welcoming and helpful. Taking time to print off flight documentation, booking taxis and even when my flight was cancelled, I was able to keep my room for longer without a problem.",,10.0,Lisa,United Kingdom,Double Room,1 night,February 2022,Solo traveler,thank you so much for your nice detailed review; we are happy that you had a nice stay. hope to see you another time.
Wonderful,"Very nice hotel, close to the beach, but situated in a quiet place. Helpful, friendly staff. Tasty breakfast.",,9.0,Joanna,Poland,Double Room,1 night,February 2022,Couple,
"Book with confidence, Well run, modern rooms, and very clean","Everything was very clean and modern and staff was very friendly. I arrived late at night and it was not a problem, They also were very responsive to any pre-arrival questions",It was all good!,10.0,Ukd03,United Kingdom,Double Room,1 night,February 2022,Solo traveler,thank you so much for your nice detailed review; we are happy that you had a nice stay. hope to see you another time.
It was maybe the best hotel we stayed in during our time in Cyprus. Very convenient for the airport.,"La Veranda was very clean, provided everything needed (even a bottle of water in the room!), and was flexible with our schedule. The staff was excellent. There are a series of delicious and fun restaurants on the beach quite close to the hotel, which the staff of the hotel kindly told us about.",The view from the rooms,8.0,Jennifer,France,Family Suite with Balcony,1 night,February 2022,Family,
Very Good,Clean and nice place,It takes too long hot water to reach tap/shower in the room,8.0,Rumen,Bulgaria,Double Room,1 night,February 2022,Solo traveler,
Wonderful,Very convenient location for arriving at the airport.,,9.0,Andrew,United Kingdom,Double Room with Balcony,1 night,February 2022,Group,
Very Good,"Very clean, nice bed and linen.
Good value.
Allowed to take dog was the reason for booking.",Some smell from bathroom/water.,8.0,Cyprus007,Cyprus,Double Room with Balcony,1 night,January 2022,Couple,
Boutique hotel in the quiet area,"Boutique hotel in the quiet area. Staff was friendly and helpful. Only few kilometers from the airport but quite distant from the city center. On the other hand - close to salt lake to have opportunity to watch flamings. Good, tasty breakfest.",,8.0,Mirosław,Poland,Double Room with Balcony,1 night,December 2021,Group,
"Warm and nice, will visit again",A nice and clean boutique hotel. Close to airport and Makenzie beach area. Taxi fare to airport around 15-18 euro.,The room does not maintain well noise insulation. but this is typical in the area,10.0,Shuowei,United Kingdom,Double Room,1 night,December 2021,Solo traveler,
"Great value for money, great staff","Staff were happy to go above and beyond to help me with Covid restrictions for the airport, which was very close by. I actually had a couple of issues that would have made it hard for me to travel had it not been for the staff. The breakfast was good. The room and location were excellent value for money- I was also upgraded a room free of charge, I suspect because the hotel was quite empty. Lovely balcony view of the ocean.",,10.0,Yazmina,United Kingdom,Double Room,1 night,December 2021,Solo traveler,
Exceptional,"Friendly staff
Very clean and cozy
Close to the airport",,10.0,Vitaliy,Ukraine,Standard Triple Room,1 night,December 2021,Family,
Good would stay again,"Did not have breakfast. Good location for airport , only 8 minutes  by car",The Smart television did not work,8.0,Terence,Cyprus,Double Room with Balcony,1 night,December 2021,Couple,
Exceptional,"Very pleasant, helpful and friendly staff.",All good,10.0,Gerard,Ireland,Double Room,1 night,December 2021,Solo traveler,
nice people kind and sweet,clean basic,it was ok,8.0,Luca,Netherlands,Double Room,1 night,November 2021,Couple,
Home in Larnaca,"It was my second time in the hotel and everything was just great:
the new and well furnished hotel with comfortable rooms;
the location is good, only 20 minutes away from the centre but located in a quiet area;
room was cleaned every day;
the staff is polite and helpful;
wifi is strong all the time;
the hosts are very kind and smiling people;
the Garnish restaurant downstairs is a very warm and cosy place with tasty breakfasts every morning. Mr. Richard and Sendi are awesome, it’s such a pleasure to start a day with their smiles.
In short, I will definitely comeback to La Veranda Hotel, the atmosphere there makes you feel like home.
Worth every Euro you spend.",No such thing.,10.0,Yulia,Russia,Double Room with Balcony,9 nights,December 2021,Solo traveler,
Exceptional,,TV CHANNELS TO BE FIXED :),10.0,Chrystalla,Cyprus,Double Room with Balcony,1 night,December 2021,Solo traveler,
Exceptional,recently refurbished and very clean!,,10.0,Jorge,United Kingdom,Double Room,1 night,December 2021,Couple,
perfect,"location is good you can take bus 425 from the airport to somewhere close enough to the hotel. stuff were super nice! room is spacious and clean, bed is comfy too.",,10.0,Xinyue,United Kingdom,Double Room,1 night,November 2021,Couple,
Pleasurable stay guaranteed!,"I had a great experience staying at La Veranda hotel right from start till the end.
The staff was very welcoming and friendly, the room is just as in the pictures; newly renovated, fully functional and most importantly comfortable and clean.
The hotel's location is convenient. Very easy to catch public transportations, many café around and close to the center.",,10.0,Ziad,Lebanon,Double Room,1 night,November 2021,Solo traveler,
Absolutely beautiful!,"My stay at this hotel was a great experience and would definitely come back with my family! The staff was so helpful, friendly and welcoming. My one night stay felt like home! Great location very close to the airport, 1 minute walk to the bus station, beach and restaurants.
The room was very clean and spacious. The mini bar was rich and very well priced, even breakfast was presentable and tasty!
Highly recommended!",It was cold for a swim:),10.0,Fouad,Lebanon,Double Room with Balcony,1 night,November 2021,Solo traveler,
BEST STAY EVER,"Christmas vibes, nice ambiance. Staff make you feel at home. Quiet area. everything was perfect. definitely will come back.",,10.0,Aline,Lebanon,Double Room,1 night,November 2021,Couple,
Great hotel,It was very clean.,,9.0,Martin,United Kingdom,Two-Bedroom Suite,1 night,November 2021,Family,
Great 1 week stay near the beach,"Very welcoming couple, helpful, and happy to help for any situation or question.
I managed to remote work from the room and balcony, that was pleasant.
Would definitely come again!",,10.0,Matteo,Switzerland,Double Room with Balcony,5 nights,November 2021,Couple,
Definitely a destination to revisit.,"What i liked most about the hotel is the room, bed sheets and toilet are super clean. Bed is very comfortable. On top of that, the hotel is less than a minute away on foot from the bus station. 
The city is nice, a lot of restaurants, bars and shops in the area. And of course lots and lots of beach shores to relax at, one of which you can get on foot for less than 5 minutes.
The staff was nice, they gave me recommendations on what places to visit and how to roam around.",The weather was a bit cold.,10.0,Elya,Lebanon,Double Room,1 night,November 2021,Solo traveler,
Exceptional,"First off, the staff. They have been so accommodating and easy to deal with and have gone above and beyond to help us out. We had a delayed flight that landed hours late and when we arrived, all the restaurants were closed. Richard was amazing and whipped us up an excellent pizza even though they were long since closed.",,10.0,Josh,Canada,Double Room,1 night,October 2021,Couple,
Exceptional,,"Good place , excellent stuff, we will come back",10.0,Amin,Israel,Two-Bedroom Suite,1 night,November 2021,Family,
"The modern, nice hotel with friendly staff","The modern, nice hotel, accommodation for one night before departure. The hotel arranged a taxi to the airport for 15 €",,9.0,Trezesa,Czech Republic,Double Room with Balcony,1 night,October 2021,Couple,
Loved it staying here,Wonderful people on reception and in the restaurant :) always smiling and glad to help,"Nothing :) it was soo nice and cosy, made me feel welcome from the first moment of arrival",9.0,Anita,United Kingdom,Double Room with Balcony,3 nights,November 2021,Solo traveler,
terrific,The management/husband and wife/were fantastic as were all the staff!,,9.0,Irena,Czech Republic,Double Room with Balcony,1 night,October 2021,Solo traveler,
Clean well maintained hotel,"we stayed in this hotel one night prior to our departure from Cyprus - close proximity to Larnaca airport. close to Mckenzie beach with lots of restaurants for dinner, hotel allowed us to check out later prior to our flight. breakfasts were nice. very clean.",all was good,10.0,Alexander,Russia,Family Suite with Balcony,1 night,October 2021,Family,
Very Nice Hotel,"Very clean, staff very welcoming and helpful. Pet friendly hotel, highly recommended we had no extra charge for our dogs, quick response when asking about bringing them. Nice freshly decorated rooms.",Nothing.,9.0,Chris,United Kingdom,Double Room with Balcony,1 night,October 2021,Couple,
stayed here before airplane departure,the place was very clean and there’s an incredibly kind and helpful staff. food was delicious and everything was very clean. the airport is very close and the beach is a five minute walk away. they were very flexible about our strange schedule.,the pool is tiny and the bathrooms can smell like bad plumbing.,9.0,Mary,Spain,Double Room,2 nights,October 2021,Family,
Superb value for money stay in a clean hotel with friendly staff!,Super friendly staff. Nicely renovated and clean hotel. Quiet street with sufficient parking facilities. Fantastic value for money.,,10.0,Elias,Belgium,Double Room with Balcony,1 night,October 2021,Couple,
perfect quality for reasonable price,"fresh just renovated, with good wifi, in 5 minutes from airport, super fast checkin/checkout","nothing, maybe they could leave more water",10.0,Andrei,Netherlands,Double Room with Balcony,1 night,October 2021,Family,
The Verandas,it’s was exceptionally clean and staff all very friendly,,10.0,Theodora,United Kingdom,Double Room with Balcony,5 nights,October 2021,Couple,
"Excellent stay, faultless hotel!","Perfect location to McKenzie Beach and only a 30 minute walk to the central marina. Everyone was very accommodating and welcoming. 
A nice addition to the very clean and tidy room is Netflix.","I have no reason to complain, everything was great!",10.0,Roland,United Kingdom,Double Room with Balcony,1 night,October 2021,Solo traveler,
Wonderful,Did not have breakfast.  Left too early.,Nothing,9.0,Lynne,Spain,Double Room with Balcony,1 night,October 2021,Couple,
Wonderful,"Staff were very friendly and extremely helpful. A lovely family hotel, refurbished during the main Corona period. In a quiet area 10 minutes from Larnaca airport. Only 6 minutes walk down to the beach & restaurants.","Refurbishment not totally complete, so safety box wasn’t working. Our room was a family suite (for 4 people), so could do with one more double hook in bathroom for towels.",9.0,Bettina,Denmark,Family Suite with Balcony,1 night,October 2021,Family,
Clean and comfortable,"I stayed for one night as I arrived late at night at Larnaca Airport and was going to another city (Limassol) the next day. The receptionist was waiting for me to arrive, even though it was after the usual open hours. The room was very clean, a bit small though, but the bathroom was spacious and the bed was comfortable.",,9.0,Julie,Denmark,Double Room with Balcony,1 night,October 2021,Solo traveler,
Wonderful,"location, room",,9.0,John,United Kingdom,Double Room with Balcony,1 night,September 2021,Solo traveler,
Very Happy,Well organised and clean,,9.0,Simon,United Kingdom,Double Room with Balcony,1 night,October 2021,Solo traveler,
Very nice.,"Excellent everything.  We got there early, around 10 am and they had our room ready.  The place was clean, spacious and really nice.  It was a pleasant walk to the sea but there was not much else to do close by.",More restaurants.,10.0,Christina,United States of America,Family Suite with Balcony,1 night,October 2021,Group,
"Modern, clean and good value!","I stayed in this hotel (twice) because of the location to the airport.  But, I found it be clean, modern, comfortable and great value for money.  It is a 10 minute walk to Makenzie Beach and those restaurants, but it also has a nice patio restaurant for a meal or cocktail.  The rooms are a bit small, but they have nice amenities (fridge, coffee making, AC, nice balcony) and are spotless and comfortable.  The staff is nice and it's very welcoming.",location - if you want to be in the center of everything (I didn't),8.0,Kim,Jordan,Double Room with Balcony,1 night,October 2021,Solo traveler,
Very Good,"Room was excellent, very clean and everything seems fairly new. Staff was very helpful. Location is also very good if you have a morning flight, airport is a 7 min drive away.","The noise from the hallway was very loud, the doors are not sound proofed at all and we couldn't sleep because of the noise that was coming around 11, 12, 1 AM.",8.0,Diana,Romania,Double Room with Balcony,1 night,October 2021,Group,
Exceptional,"nice small hotel not far from the airport.
everything was good. clean and fresh rooms, good hosts, and 5 min walk to the beach.","smell from the lake, but it doesn’t depend on the hotel.",10.0,Andrii,Ukraine,Two-Bedroom Suite,1 night,October 2021,Group,
Wonderful,Clean and freshly renovated room,,9.0,Alina,Ukraine,Double Room with Balcony,1 night,October 2021,Solo traveler,
Wonderful,This Hotel was perfect for us because we arrived late at night with the intention to get some rest before we continued our journey. It’s location was ideal for the purpose of our stay because it’s close to the Larnaca AirPort. The host of the Hotel was so kind and helpful. Always a smile on his face with great energy and amazing hospitality making sure we had a great stay. I would rate him 10/10 for sure!,,9.0,Dino,Sweden,Double Room,1 night,October 2021,Couple,
Perfect place for shorter vacations.,"Everything was very clean, the bed was comfortable, spacious bathroom. The beach is very close and the bus to the airport is only 50 meters away.","The room was a bit cramped, but we could fit. It may have been a unique case, but a rather disturbing odor of sewage came out of the drains. The smell could be felt on the street that day as well.",9.0,Gábor,Hungary,Double Room with Balcony,1 night,October 2021,Couple,
Wonderful,Small and quiet,,9.0,Spartak,Ukraine,Double Room with Balcony,7 nights,October 2021,Couple,
Exceptional,The staff was exceptional. They were really customer-centric and kind. The breakfast was really delicious too 😊,Nothing. It was perfect,10.0,Helga,Germany,Double Room with Balcony,4 nights,October 2021,Solo traveler,
Exceptional,"Clean fresh nice and peaceful 
Very welcoming",All spot on,10.0,Anna,United Kingdom,Double Room with Balcony,1 night,October 2021,Group,
Wonderful,"The staff was super nice!
We needed a taxi for the airport and they've helped us book it for a really good price (better than everything we've seen online). The room was really clean and the bed was comfortable.","The wifi in the room wasn't great. We had to work that day so we needed a strong wifi, but there is a Cafe Nero 10 minutes away which was perfect.",9.0,Larisa,United Kingdom,Double Room,1 night,September 2021,Solo traveler,
Exceptional,Breakfast was exceptional,Size of room was a bit small,10.0,George,United States of America,Double Room,1 night,October 2021,Couple,
Exceptional,Absolutely clean and friendly staff. Ultimate hygiene. Very clean . Very economic . Staff and owners very friendly and helpful . Location is great . Definitely a place to come again if came to larnaca,Nothing,10.0,Louise,Qatar,Double Room with Balcony,2 nights,October 2021,Solo traveler,
Good Vibes,"A modern, clean, friendly and all you need for a great Holiday.",,10.0,Teena,United Kingdom,Double Room with Balcony,1 night,September 2021,Couple,
Fabulous hotel,"Exceptionally friendly and helpful. Tastefully decorated room and super comfy bed.
Dinner and breakfast were freshly made and very tasty.",Couldn’t fault it at all,10.0,Tonia,United Kingdom,Double Room with Balcony,1 night,September 2021,Couple,
Wonderful,"Excellent hotel, clean and with excellent owners",Nothing,9.0,Morgan,Australia,Double Room,1 night,September 2021,Solo traveler,
"Value for money, friendly staff, brand new facilities","The family running this hotel are very friendly and welcoming! They gave us a free room upgrade. The building and the hotel are brand new. Spotlessly clean. Walking distance to the beach, restaurants and shops. It is away from traffic. Fully stocked minibar with coffee and tea-making facilities. Value for money. We will stay again!
Tip: If you like sleeping in the dark, bring a sleeping mask and/or some blu tack to secure the curtains in place.",On the 4th floor with all the windows and balcony doors locked we could still hear some outside noise.,9.0,Dimitrios,Cyprus,Double Room with Balcony,2 nights,September 2021,Couple,
Just great!,"It’s definitely one of the best accommodations I’ve ever been in. Everything was just good:
Clean rooms, cleaning every day;
Great staff and very pleasant hosts;
Strong wi-fi at any time;
Very friendly and comfortable atmosphere.
Garnish restaurant on the ground is amazing! The owner is a very kind person and creative chef. I’ll miss his breakfasts.
In other words, I’ll stay here my next time in Larnaca for sure.",No such thing.,10.0,Yulia,Russia,Double Room with Balcony,14 nights,September 2021,Solo traveler,
Exceptional,"Very good value for money, the room was nice, with a big balcony.",A bit farther away than most hotels so it's a bit of a trek to get to get to the busier beach and bars. But the area its in is good for water sports and is where the quieter beaches are.,10.0,Dundon,United Kingdom,Standard Triple Room,2 nights,July 2021,Solo traveler,
Amazing!!,I stay in larnaca every year but this was my first time at La Veranda and I’d 100% recommend! The owners were absolutely lovely and made sure we had everything we needed! Property was clean and modern and location was good.,,10.0,Natasha,United Kingdom,Double Room,12 nights,August 2021,Couple,
Exceptional,Extremely friendly people work at La Veranda! they helped us in any possible way. thank you!,,10.0,Alexandra,Russia,Double Room with Balcony,1 night,September 2021,Group,
Wonderful,"great friendly staff, very welcoming, the owner took me personally to our room, and gave me a prime parking spot.
he introduced us to his daughter who was learning the trade and she was super nice and helpful.
couldn't have been more pleased",all good!,9.0,Adam,United Kingdom,Standard Triple Room,3 nights,September 2021,Couple,
Wonderful,"Great location 5 min walk to beach And amenities , staff very good and helpful, rooms were comfortable snd very clean",Notting,9.0,Ian,United Kingdom,Double Room,7 nights,September 2021,Solo traveler,
Last minute booking as I had to change my flights. Very clean and quiet and close to the airport,Very modern and clean,,10.0,Huong,United Kingdom,Double Room with Balcony,1 night,September 2021,Solo traveler,
Exceptional,Clean and good communication.,Booked a taxi from the airport was a no show.,10.0,Graeme,United Kingdom,Double Room with Balcony,1 night,September 2021,Couple,
