PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType
Reviewed,Not Reviewed,10,Xinyue,United Kingdom,Double Room,1,Nov-21,Couple
Reviewed,Not Reviewed,10,Ziad,Lebanon,Double Room,1,Nov-21,Solo traveler
Reviewed,Reviewed,10,Fouad,Lebanon,Double Room with Balcony,1,Nov-21,Solo traveler
Reviewed,Not Reviewed,10,Aline,Lebanon,Double Room,1,Nov-21,Couple
Reviewed,Not Reviewed,9,Martin,United Kingdom,Two-Bedroom Suite,1,Nov-21,Family
Reviewed,Not Reviewed,10,Matteo,Switzerland,Double Room with Balcony,5,Nov-21,Couple
Reviewed,Reviewed,10,Elya,Lebanon,Double Room,1,Nov-21,Solo traveler
Reviewed,Not Reviewed,10,Josh,Canada,Double Room,1,Oct-21,Couple
Not Reviewed,Reviewed,10,Amin,Israel,Two-Bedroom Suite,1,Nov-21,Family
Reviewed,Not Reviewed,9,Trezesa,Czech Republic,Double Room with Balcony,1,Oct-21,Couple
Reviewed,Reviewed,9,Anita,United Kingdom,Double Room with Balcony,3,Nov-21,Solo traveler
Reviewed,Not Reviewed,9,Irena,Czech Republic,Double Room with Balcony,1,Oct-21,Solo traveler
Reviewed,Reviewed,10,Alexander,Russia,Family Suite with Balcony,1,Oct-21,Family
Reviewed,Reviewed,9,Chris,United Kingdom,Double Room with Balcony,1,Oct-21,Couple
Reviewed,Reviewed,9,Mary,Spain,Double Room,2,Oct-21,Family
Reviewed,Not Reviewed,10,Elias,Belgium,Double Room with Balcony,1,Oct-21,Couple
Reviewed,Reviewed,10,Andrei,Netherlands,Double Room with Balcony,1,Oct-21,Family
Reviewed,Not Reviewed,10,Theodora,United Kingdom,Double Room with Balcony,5,Oct-21,Couple
Reviewed,Reviewed,10,Roland,United Kingdom,Double Room with Balcony,1,Oct-21,Solo traveler
Reviewed,Reviewed,9,Lynne,Spain,Double Room with Balcony,1,Oct-21,Couple
Reviewed,Reviewed,9,Bettina,Denmark,Family Suite with Balcony,1,Oct-21,Family
Reviewed,Not Reviewed,9,Julie,Denmark,Double Room with Balcony,1,Oct-21,Solo traveler
Reviewed,Not Reviewed,9,John,United Kingdom,Double Room with Balcony,1,Sep-21,Solo traveler
Reviewed,Not Reviewed,9,Simon,United Kingdom,Double Room with Balcony,1,Oct-21,Solo traveler
Reviewed,Reviewed,10,Christina,United States of America,Family Suite with Balcony,1,Oct-21,Group
Reviewed,Reviewed,8,Kim,Jordan,Double Room with Balcony,1,Oct-21,Solo traveler
Reviewed,Reviewed,8,Diana,Romania,Double Room with Balcony,1,Oct-21,Group
Reviewed,Reviewed,10,Andrii,Ukraine,Two-Bedroom Suite,1,Oct-21,Group
Reviewed,Not Reviewed,9,Alina,Ukraine,Double Room with Balcony,1,Oct-21,Solo traveler
Reviewed,Not Reviewed,9,Dino,Sweden,Double Room,1,Oct-21,Couple
Reviewed,Reviewed,9,Gábor,Hungary,Double Room with Balcony,1,Oct-21,Couple
Reviewed,Not Reviewed,9,Spartak,Ukraine,Double Room with Balcony,7,Oct-21,Couple
Reviewed,Reviewed,10,Helga,Germany,Double Room with Balcony,4,Oct-21,Solo traveler
Reviewed,Reviewed,10,Anna,United Kingdom,Double Room with Balcony,1,Oct-21,Group
Reviewed,Reviewed,9,Larisa,United Kingdom,Double Room,1,Sep-21,Solo traveler
Reviewed,Reviewed,10,George,United States of America,Double Room,1,Oct-21,Couple
Reviewed,Reviewed,10,Louise,Qatar,Double Room with Balcony,2,Oct-21,Solo traveler
Reviewed,Not Reviewed,10,Teena,United Kingdom,Double Room with Balcony,1,Sep-21,Couple
Reviewed,Reviewed,10,Tonia,United Kingdom,Double Room with Balcony,1,Sep-21,Couple
Reviewed,Reviewed,9,Morgan,Australia,Double Room,1,Sep-21,Solo traveler
Reviewed,Reviewed,9,Dimitrios,Cyprus,Double Room with Balcony,2,Sep-21,Couple
Reviewed,Reviewed,10,Yulia,Russia,Double Room with Balcony,14,Sep-21,Solo traveler
Reviewed,Reviewed,10,Dundon,United Kingdom,Standard Triple Room,2,Jul-21,Solo traveler
Reviewed,Not Reviewed,10,Natasha,United Kingdom,Double Room,12,Aug-21,Couple
Reviewed,Not Reviewed,10,Alexandra,Russia,Double Room with Balcony,1,Sep-21,Group
Reviewed,Reviewed,9,Adam,United Kingdom,Standard Triple Room,3,Sep-21,Couple
Reviewed,Reviewed,9,Ian,United Kingdom,Double Room,7,Sep-21,Solo traveler
Reviewed,Not Reviewed,10,Huong,United Kingdom,Double Room with Balcony,1,Sep-21,Solo traveler
Reviewed,Reviewed,10,Graeme,United Kingdom,Double Room with Balcony,1,Sep-21,Couple
Reviewed,Reviewed,10,Graeme,United Kingdom,Double Room,1,Sep-21,Couple
Reviewed,Reviewed,8,Eben,United Kingdom,Double Room with Balcony,1,Sep-21,Solo traveler
Reviewed,Reviewed,9,Jacek,Poland,Double Room with Balcony,4,Sep-21,Couple
Reviewed,Reviewed,9,Karen,Cyprus,Double Room with Balcony,1,Sep-21,Couple
Reviewed,Not Reviewed,10,Leanne,United Kingdom,Double Room with Balcony,1,Sep-21,Family
Reviewed,Not Reviewed,10,Josef,Czech Republic,Double Room,1,Sep-21,Group
Reviewed,Reviewed,9,World,Spain,Double Room with Balcony,1,Sep-21,Solo traveler
Reviewed,Not Reviewed,10,Kamal,United Arab Emirates,Double Room with Balcony,1,Sep-21,Solo traveler
Reviewed,Reviewed,9,Daniel,Russia,Double Room with Balcony,1,Sep-21,Family
Reviewed,Not Reviewed,10,Angela,United Kingdom,Double Room with Balcony,3,Sep-21,Family
Reviewed,Not Reviewed,9,Rami,Lebanon,Double Room with Balcony,1,Sep-21,Couple
Reviewed,Reviewed,8,Snezana,Slovakia,Standard Triple Room,1,Aug-21,Group
Reviewed,Reviewed,10,Charles,Australia,Double Room with Balcony,1,Aug-21,Solo traveler
Reviewed,Not Reviewed,10,Ann,Norway,Double Room with Balcony,1,Aug-21,Solo traveler
Reviewed,Not Reviewed,8,Raymond,Angola,Double Room with Balcony,4,Aug-21,Couple
Reviewed,Not Reviewed,10,Jarosław,Poland,Double Room with Balcony,4,Aug-21,Couple
Reviewed,Not Reviewed,10,Hunor,Hungary,Double Room with Balcony,1,Aug-21,Couple
Reviewed,Not Reviewed,10,Adam,United Kingdom,Standard Triple Room,1,Aug-21,Family
Reviewed,Not Reviewed,9,Seppo,Austria,Standard Triple Room,1,Jul-21,Family
Reviewed,Not Reviewed,10,Alan,United Kingdom,Double Room with Balcony,1,Aug-21,Couple
Reviewed,Not Reviewed,10,Jose,Spain,Two-Bedroom Suite,1,Aug-21,Family
Reviewed,Reviewed,10,Dina,Germany,Standard Triple Room,3,Aug-21,Group
Reviewed,Reviewed,8,Abdulmalik,Saudi Arabia,Double Room with Balcony,1,Aug-21,Couple
Reviewed,Reviewed,10,Sonia,United Kingdom,Double Room with Balcony,1,Aug-21,Couple
Reviewed,Reviewed,10,Anastasiiy,Ukraine,Family Suite with Balcony,5,Aug-21,Group
Reviewed,Reviewed,9,Anton,Lithuania,Double Room with Balcony,1,Aug-21,Solo traveler
Reviewed,Not Reviewed,10,Irina,Russia,Double Room with Balcony,1,Jul-21,Couple
Reviewed,Reviewed,10,Kelly,United Kingdom,Double Room,2,Aug-21,Family
Reviewed,Not Reviewed,8,Rewa,United Kingdom,Double Room with Balcony,1,Aug-21,Solo traveler
Reviewed,Not Reviewed,10,Zoe,United Kingdom,Double Room with Balcony,2,Aug-21,Family
Reviewed,Not Reviewed,10,Konstantinos,Cyprus,Double Room,2,Aug-21,Couple
Reviewed,Not Reviewed,10,Joseph,France,Double Room with Balcony,5,Aug-21,Solo traveler
Reviewed,Not Reviewed,10,Stanislav,Russia,Family Suite with Balcony,1,Aug-21,Family
Reviewed,Reviewed,10,Josef,Czech Republic,Double Room with Balcony,1,Jul-21,Couple
Reviewed,Not Reviewed,10,Pavlos,United Kingdom,Double Room with Balcony,1,Aug-21,Couple
Reviewed,Not Reviewed,8,Méli,Lebanon,Double Room with Balcony,1,Aug-21,Couple
Reviewed,Reviewed,10,Alexey,Ukraine,Two-Bedroom Suite,1,Aug-21,Family
Reviewed,Not Reviewed,10,Jad,Saudi Arabia,Double Room with Balcony,1,Aug-21,Solo traveler
Reviewed,Not Reviewed,10,Mo,United Kingdom,Double Room with Balcony,1,Aug-21,Solo traveler
Reviewed,Reviewed,10,Christiana,United States of America,Two-Bedroom Suite,1,Aug-21,Family
Reviewed,Reviewed,10,Ben,United Kingdom,Family Suite with Balcony,1,Jul-21,Family
Reviewed,Reviewed,10,Nikolaos,United Arab Emirates,Double Room with Balcony,1,Aug-21,Solo traveler
Reviewed,Reviewed,10,Rita,Lebanon,Double Room with Balcony,1,Jul-21,Family
Reviewed,Not Reviewed,9,Imran,United Arab Emirates,Family Suite with Balcony,1,Jul-21,Family
Reviewed,Reviewed,9,Denis,Cyprus,Double Room with Balcony,1,Jul-21,Family
Reviewed,Not Reviewed,10,Demid,Cyprus,Standard Triple Room,1,Jul-21,Family
Reviewed,Not Reviewed,8,Vanessa,Malta,Double Room with Balcony,2,Jul-21,Family
Reviewed,Not Reviewed,10,Nicky,United Kingdom,Double Room with Balcony,11,Jul-21,Group
Reviewed,Not Reviewed,10,Alejandro,Germany,Double Room with Balcony,1,Jul-21,Solo traveler
Reviewed,Reviewed,8,Antreasp,Cyprus,Double Room with Balcony,1,Jun-21,Solo traveler
Reviewed,Not Reviewed,8,Vanessa,Malta,Double Room with Balcony,1,Jul-21,Family
Reviewed,Reviewed,8,Graham,Cyprus,Double Room with Balcony,1,Jul-21,Solo traveler
Reviewed,Reviewed,10,Walid,Saudi Arabia,Standard Triple Room,1,Jul-21,Solo traveler
Reviewed,Reviewed,8,Kateryna,Ukraine,Standard Triple Room,6,Jul-21,Couple
Reviewed,Not Reviewed,9,Anna,Cyprus,Double Room with Balcony,1,Jul-21,Solo traveler
Reviewed,Not Reviewed,10,Sarah,Lebanon,Double Room with Balcony,1,Jul-21,Family
Reviewed,Not Reviewed,10,Fadi,Czech Republic,Double Room with Balcony,1,Jul-21,Family
Reviewed,Reviewed,9,Michał,Malta,Double Room with Balcony,1,Jul-21,Group
Reviewed,Reviewed,10,Chris,Cyprus,Double Room with Balcony,4,Jul-21,Solo traveler
Reviewed,Reviewed,8,Yuliya,Israel,Double Room with Balcony,5,Jul-21,Solo traveler
Reviewed,Not Reviewed,8,Paul,United Kingdom,Double Room with Balcony,1,Jul-21,Solo traveler
Reviewed,Not Reviewed,10,Isaac,Switzerland,Double Room with Balcony,2,Jul-21,Solo traveler
Reviewed,Not Reviewed,10,Ghada,Bahrain,Double Room with Balcony,1,Jul-21,Solo traveler
Reviewed,Reviewed,10,James,United Kingdom,Double Room with Balcony,3,Jul-21,Couple
Reviewed,Not Reviewed,10,Giannis,Cyprus,Double Room with Balcony,1,Jun-21,Group
Reviewed,Reviewed,10,Leonid,Lithuania,Double Room with Balcony,3,Jun-21,Solo traveler
Reviewed,Not Reviewed,10,Tamba,Ireland,Double Room with Balcony,2,Jul-21,Group
Reviewed,Not Reviewed,9,Jami,United States of America,Two-Bedroom Suite,4,Jun-21,Family
Reviewed,Not Reviewed,10,Guy,Germany,Double Room with Balcony,1,Jun-21,Couple
Reviewed,Not Reviewed,10,Theofano,Cyprus,Double Room with Balcony,1,Jun-21,Group
Reviewed,Reviewed,8,Sergey,Russia,Double Room with Balcony,1,Jun-21,Couple
Reviewed,Not Reviewed,9,Viktor,Bulgaria,Double Room with Balcony,1,Jun-21,Solo traveler
Reviewed,Reviewed,10,Dmytro,Ireland,Double Room with Balcony,1,Jun-21,Solo traveler
Reviewed,Not Reviewed,10,Evgeny,Israel,Double Room with Balcony,1,Jun-21,Solo traveler
Reviewed,Reviewed,10,Jayk,Canada,Double Room with Balcony,1,May-21,Solo traveler
Reviewed,Not Reviewed,10,Johan,Denmark,Double Room with Balcony,1,May-21,Couple
Reviewed,Reviewed,10,Miguel,United Arab Emirates,Double Room with Balcony,1,May-21,Solo traveler
Reviewed,Not Reviewed,7,David,United States of America,Suite with Balcony,1,Nov-22,Family
Reviewed,Reviewed,5,Nicky,United Kingdom,Double Room with Balcony,5,Nov-22,Group
Reviewed,Reviewed,7,Regina,United Kingdom,Double Room with Balcony,6,Nov-22,Solo traveler
Reviewed,Reviewed,7,Sally,United Kingdom,Double Room with Balcony,1,Nov-22,Group
Reviewed,Reviewed,6,Joanna,United Kingdom,Budget Twin Room,1,Nov-22,Group
Reviewed,Reviewed,6,Charis,Cyprus,Double Room with Balcony,1,Oct-22,Solo traveler
Reviewed,Reviewed,7,Davit,Armenia,Budget Twin Room,1,Oct-22,Family
Reviewed,Reviewed,6,Markos,United States of America,Double Room with Balcony,2,Aug-22,Solo traveler
Reviewed,Reviewed,7,Cemre,Cyprus,Two-Bedroom Suite,1,Sep-22,Group
Reviewed,Reviewed,4,Sokratis,Cyprus,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Reviewed,7,Sonja,Germany,Standard Triple Room,1,Sep-22,Family
Reviewed,Reviewed,3,Lior,Israel,Two-Bedroom Suite,1,Sep-22,Family
Reviewed,Reviewed,4,Dragan,Egypt,Double Room with Balcony,1,Aug-22,Family
Reviewed,Reviewed,7,La_venia,Germany,Two-Bedroom Suite,4,Aug-22,Couple
Reviewed,Reviewed,6,Maria,Cyprus,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Reviewed,7,Alexander,United Kingdom,Double Room,1,Apr-22,Solo traveler
Reviewed,Reviewed,6,Eric,Germany,Double Room with Balcony,3,Apr-22,Solo traveler
Reviewed,Reviewed,7,Daria,Denmark,Double Room,1,Mar-22,Solo traveler
Reviewed,Reviewed,7,Dave,United Kingdom,Two-Bedroom Suite,1,Mar-22,Family
Reviewed,Reviewed,5,Rhiannon,United Kingdom,Double Room,1,Jan-22,Solo traveler
Reviewed,Reviewed,6,Samira,United Kingdom,Double Room with Balcony,1,Nov-21,Couple
Reviewed,Reviewed,7,Mariia,Poland,Standard Triple Room,1,Oct-21,Family
Reviewed,Not Reviewed,6,Ian,Cyprus,Double Room with Balcony,1,Nov-21,Solo traveler
Reviewed,Reviewed,7,Neil,United Kingdom,Double Room,1,Nov-21,Solo traveler
Reviewed,Reviewed,7,Eleni,United Kingdom,Double Room with Balcony,3,Oct-21,Couple
Reviewed,Reviewed,7,Karlijn,Netherlands,Double Room with Balcony,1,Oct-21,Couple
Reviewed,Not Reviewed,7,Egonab,Jordan,Double Room with Balcony,1,Sep-21,Solo traveler
Reviewed,Reviewed,5,Hanro,Cyprus,Double Room with Balcony,1,Sep-21,Solo traveler
Reviewed,Reviewed,7,Christopher,United Kingdom,Double Room with Balcony,1,Sep-21,Solo traveler
Reviewed,Reviewed,1,Alexandra,United Kingdom,Family Suite with Balcony,2,Sep-21,Couple
Not Reviewed,Reviewed,7,Marcin,Poland,Double Room with Balcony,2,Aug-21,Solo traveler
Reviewed,Reviewed,5,Laura,Switzerland,Family Suite with Balcony,1,Aug-21,Family
Reviewed,Reviewed,7,Amritha,United Arab Emirates,Standard Triple Room,2,Jul-21,Group
Reviewed,Reviewed,7,Wael,Qatar,Double Room,1,Aug-21,Solo traveler
Reviewed,Reviewed,5,Essam,United Arab Emirates,Double Room with Balcony,2,Jul-21,Solo traveler
Reviewed,Reviewed,7,Maria,France,Double Room with Balcony,1,Jul-21,Couple
Reviewed,Reviewed,7,Angeliki,Greece,Double Room with Balcony,3,Jul-21,Solo traveler
Reviewed,Reviewed,4,Maria,United States of America,Standard Triple Room,3,Jul-21,Family
Reviewed,Not Reviewed,10,Anonymous,United Kingdom,,3,Jul-22,Family
Reviewed,Not Reviewed,9,Anonymous,United Kingdom,,1,Jun-22,Family
Reviewed,Reviewed,8,Anonymous,United Kingdom,,1,Jun-22,Group
Reviewed,Reviewed,10,Anonymous,United States of America,,1,Nov-21,Solo traveler
Reviewed,Not Reviewed,8,Anonymous,Russia,,1,Oct-21,Family
Reviewed,Reviewed,10,Anonymous,Hungary,,1,Sep-21,Solo traveler
Reviewed,Reviewed,9,Anonymous,Czech Republic,,1,Sep-21,Solo traveler
Reviewed,Not Reviewed,10,Anonymous,Australia,,1,Sep-21,Group
Reviewed,Not Reviewed,8,Anonymous,United Kingdom,,1,Aug-21,Family
Reviewed,Reviewed,10,Anonymous,United Kingdom,,1,Aug-21,Solo traveler
Reviewed,Not Reviewed,10,Anonymous,Germany,,1,Jul-21,Family
Reviewed,Not Reviewed,10,Anonymous,Cyprus,,1,Jun-21,Solo traveler
Reviewed,Reviewed,1,Anonymous,Cyprus,,1,Sep-21,Couple
Reviewed,Reviewed,8,Akiva,Israel,Double Room with Balcony,4,Dec-22,Solo traveler
Reviewed,Not Reviewed,10,Moshe,Israel,Double Room with Balcony,1,Dec-22,Group
Reviewed,Not Reviewed,10,Liron,Israel,Double Room,1,Dec-22,Family
Reviewed,Not Reviewed,10,Liron,Israel,Double Room,1,Dec-22,Family
Reviewed,Not Reviewed,10,Thomas,Switzerland,Double Room with Balcony,1,Nov-22,Solo traveler
Reviewed,Reviewed,9,Mariane,France,Double Room,1,Nov-22,Couple
Reviewed,Reviewed,10,Orly,Israel,Double Room,1,Nov-22,Solo traveler
Reviewed,Reviewed,8,Vladimira,Slovakia,Standard Triple Room,1,Nov-22,Family
Reviewed,Reviewed,9,Jana,Bulgaria,Two-Bedroom Suite,2,Sep-22,Group
Reviewed,Reviewed,8,Lioval,France,Double Room,1,Nov-22,Family
Reviewed,Not Reviewed,10,Simandan,Romania,Double Room,1,Nov-22,Family
Reviewed,Reviewed,9,Israel,Israel,Double Room with Balcony,1,Nov-22,Family
Reviewed,Not Reviewed,10,Abd,France,Double Room with Balcony,1,Nov-22,Family
Reviewed,Not Reviewed,10,Anja,Austria,Budget Twin Room,3,Oct-22,Group
Reviewed,Not Reviewed,9,Alessio,France,Double Room,1,Nov-22,Solo traveler
Reviewed,Reviewed,10,Roland,Belgium,Family Suite with Balcony,1,Nov-22,Family
Reviewed,Reviewed,8,Audrey,France,Two-Bedroom Suite,1,Oct-22,Family
Reviewed,Reviewed,8,Nicolas,France,Standard Triple Room,2,Nov-22,Family
Reviewed,Not Reviewed,10,Екатерина,Russia,Double Room,2,Oct-22,Solo traveler
Reviewed,Not Reviewed,9,Evangelos,Greece,Double Room,1,Oct-22,Couple
Reviewed,Not Reviewed,10,Chik,Israel,Family Suite with Balcony,2,Sep-22,Family
Reviewed,Not Reviewed,9,Mateusz,Poland,Suite with Balcony,1,Oct-22,Family
Reviewed,Not Reviewed,9,Melanie,Austria,Standard Triple Room,1,Oct-22,Couple
Reviewed,Reviewed,9,Franck,France,Double Room with Balcony,1,Oct-22,Family
Reviewed,Not Reviewed,10,Oleh,Ukraine,Double Room,1,Oct-22,Couple
Reviewed,Reviewed,8,Belen,Spain,Two-Bedroom Suite,3,Sep-22,Family
Not Reviewed,Not Reviewed,10,Amir,Israel,Standard Triple Room,1,Oct-22,Family
Reviewed,Reviewed,9,אוהד,Israel,Two-Bedroom Suite,1,Oct-22,Family
Reviewed,Not Reviewed,10,Heidi,Denmark,Double Room,2,Oct-22,Family
Reviewed,Reviewed,10,Yulia,Israel,Double Room,1,Oct-22,Family
Reviewed,Not Reviewed,10,Mira,Israel,Double Room with Balcony,3,Oct-22,Group
Reviewed,Not Reviewed,8,Winfried,Germany,Budget Twin Room,1,Sep-22,Couple
Reviewed,Reviewed,9,Danilo,Italy,Double Room with Balcony,1,Sep-22,Solo traveler
Reviewed,Reviewed,9,Martin,Czech Republic,Double Room,1,Oct-22,Couple
Reviewed,Not Reviewed,9,Andrea,Italy,Double Room with Balcony,2,Oct-22,Couple
Reviewed,Not Reviewed,10,Zaruhi,France,Double Room,1,Sep-22,Solo traveler
Reviewed,Reviewed,8,Alon,Israel,Double Room,1,Oct-22,Family
Reviewed,Reviewed,10,Rossatti,Italy,Double Room,1,Oct-22,Family
Reviewed,Not Reviewed,9,Hagit,Israel,Double Room with Balcony,1,Oct-22,Family
Reviewed,Reviewed,8,Ramy_weidenfeld,Israel,Two-Bedroom Suite,1,Oct-22,Family
Reviewed,Not Reviewed,10,Shirley,Israel,Standard Triple Room,1,Oct-22,Family
Reviewed,Not Reviewed,9,Aurel,Austria,Budget Twin Room,5,Sep-22,Couple
Reviewed,Not Reviewed,10,Maria,France,Double Room,1,Oct-22,Solo traveler
Reviewed,Reviewed,9,Hugues,France,Double Room,1,Oct-22,Couple
Reviewed,Not Reviewed,10,Eliahu,Israel,Standard Triple Room,3,Oct-22,Family
Reviewed,Not Reviewed,10,Brigitte,France,Budget Twin Room,1,Oct-22,Family
Reviewed,Reviewed,10,Sindy,France,Double Room with Balcony,1,Oct-22,Family
Reviewed,Reviewed,9,Batya,Israel,Double Room with Balcony,1,Oct-22,Couple
Reviewed,Not Reviewed,10,Esma,France,Double Room with Balcony,2,Oct-22,Family
Reviewed,Not Reviewed,10,Michaela,Czech Republic,Double Room,1,Sep-22,Couple
Reviewed,Not Reviewed,10,Efrat,Israel,Double Room,1,Sep-22,Couple
Reviewed,Not Reviewed,8,Andreas,Germany,Double Room with Balcony,3,Aug-22,Group
Reviewed,Not Reviewed,10,Moh,Belgium,Suite with Balcony,1,Aug-22,Family
Reviewed,Reviewed,10,Bryan,Honduras,Double Room with Balcony,1,Sep-22,Solo traveler
Reviewed,Not Reviewed,10,Tünde,Hungary,Two-Bedroom Suite,1,Sep-22,Solo traveler
Reviewed,Reviewed,9,Stefanos,Cyprus,Double Room with Balcony,2,Sep-22,Couple
Reviewed,Not Reviewed,10,Barbara,Switzerland,Double Room,1,Sep-22,Family
Reviewed,Reviewed,10,אורית,Israel,Double Room with Balcony,1,Sep-22,Couple
Reviewed,Not Reviewed,8,אנטופיצקי,Israel,Double Room,1,Sep-22,Solo traveler
Reviewed,Not Reviewed,10,Meunier,France,Double Room,1,Sep-22,Group
Reviewed,Not Reviewed,10,Ewa,Poland,Budget Twin Room,1,Sep-22,Solo traveler
Reviewed,Not Reviewed,10,Vincent,France,Double Room,1,Sep-22,Solo traveler
Reviewed,Not Reviewed,8,Heinz,Switzerland,Two-Bedroom Suite,1,Sep-22,Family
Reviewed,Reviewed,8,Hans,Netherlands,Budget Twin Room,1,Sep-22,Couple
Reviewed,Reviewed,9,Simon,Austria,Double Room,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Ramona,Italy,Double Room with Balcony,1,Sep-22,Family
Reviewed,Reviewed,10,Francesco,Italy,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Lmannini,Italy,Double Room,6,Aug-22,Solo traveler
Reviewed,Not Reviewed,9,Paul,Sweden,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Reviewed,8,Silvia,Italy,Budget Twin Room,1,Aug-22,Group
Reviewed,Reviewed,10,Marie-pierre,France,Standard Triple Room,3,Aug-22,Couple
Reviewed,Reviewed,10,Christian,Germany,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Yannushka,Ukraine,Standard Triple Room,3,Aug-22,Family
Reviewed,Not Reviewed,10,Ekaterina,Cyprus,Double Room with Balcony,1,Aug-22,Solo traveler
Reviewed,Reviewed,10,Mhd,Germany,Standard Triple Room,2,Aug-22,Family
Reviewed,Not Reviewed,10,Ezra,Israel,Two-Bedroom Suite,1,Aug-22,Family
Reviewed,Reviewed,10,Naama,Israel,Two-Bedroom Suite,1,Aug-22,Family
Reviewed,Reviewed,10,André,Cyprus,Double Room with Balcony,3,Aug-22,Couple
Reviewed,Reviewed,10,שמרית,Israel,Two-Bedroom Suite,1,Aug-22,Family
Reviewed,Not Reviewed,9,Antria,Cyprus,Double Room with Balcony,1,Aug-22,Family
Reviewed,Not Reviewed,8,Simone,Italy,Two-Bedroom Suite,2,Aug-22,Group
Reviewed,Reviewed,9,Keren,Israel,Two-Bedroom Suite,1,Aug-22,Family
Reviewed,Reviewed,9,טלי,Israel,Two-Bedroom Suite,1,Jul-22,Family
Reviewed,Reviewed,8,Marios,Cyprus,Budget Twin Room,1,Aug-22,Family
Reviewed,Reviewed,8,Moalla,France,Standard Triple Room,1,Aug-22,Family
Reviewed,Reviewed,10,Csengele-monika,Germany,Double Room,1,Aug-22,Couple
Reviewed,Reviewed,8,Roni,Israel,Standard Triple Room,1,Aug-22,Family
Reviewed,Reviewed,8,Erica,Italy,Double Room,1,Aug-22,Couple
Reviewed,Reviewed,8,Yafit,Israel,Double Room,1,Aug-22,Couple
Reviewed,Reviewed,8,Rudolf,Cyprus,Budget Twin Room,9,Aug-22,Solo traveler
Reviewed,Not Reviewed,8,Raphael,France,Double Room,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Natalia,Iceland,Standard Triple Room,1,Aug-22,Family
Reviewed,Not Reviewed,8,Giuseppe,Switzerland,Double Room,1,Aug-22,Couple
Reviewed,Not Reviewed,10,Nicol,Israel,Suite with Balcony,1,Aug-22,Group
Reviewed,Reviewed,9,Hartmut,Germany,Double Room with Balcony,1,Aug-22,Couple
Reviewed,Reviewed,10,Racheli,Israel,Standard Triple Room,1,Aug-22,Family
Reviewed,Not Reviewed,10,Virmont,France,Double Room,1,Aug-22,Couple
Not Reviewed,Not Reviewed,10,Dror,Israel,Two-Bedroom Suite,1,Aug-22,Family
Reviewed,Not Reviewed,9,Roey,Israel,Budget Twin Room,1,Jul-22,Couple
Reviewed,Reviewed,9,Dimitris,Greece,Double Room with Balcony,2,Jul-22,Solo traveler
Reviewed,Reviewed,9,Patricia,France,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,Zachi,Israel,Double Room,2,Jul-22,Family
Reviewed,Not Reviewed,10,Oshri,Israel,Double Room,1,Jul-22,Family
Reviewed,Reviewed,9,Andréslidón,Spain,Two-Bedroom Suite,3,Jul-22,Family
Reviewed,Reviewed,10,Clémence,France,Double Room,1,Jul-22,Couple
Reviewed,Reviewed,9,Dieuwertje,Netherlands,Suite with Balcony,1,Jul-22,Family
Reviewed,Not Reviewed,10,Ragusa,Israel,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Not Reviewed,9,Levi,Israel,Family Suite with Balcony,1,Jul-22,Group
Reviewed,Reviewed,10,Thabet,Cyprus,Suite with Balcony,1,Jul-22,Group
Reviewed,Not Reviewed,10,Zine-eddine,France,Family Suite with Balcony,4,Jul-22,Family
Reviewed,Reviewed,8,Filomena63,Italy,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,אבי,Israel,Family Suite with Balcony,1,Jul-22,Family
Reviewed,Not Reviewed,10,Tony,France,Two-Bedroom Suite,1,Jul-22,Family
Reviewed,Not Reviewed,9,Mikail,Germany,Double Room with Balcony,1,Jul-22,Solo traveler
Reviewed,Not Reviewed,10,Richard,Hungary,Double Room with Balcony,2,Jul-22,Couple
Reviewed,Not Reviewed,10,Teresa,Germany,Double Room,7,Apr-22,Solo traveler
Reviewed,Reviewed,8,Justine,France,Double Room with Balcony,1,Jul-22,Couple
Reviewed,Not Reviewed,10,Lana,Ukraine,Standard Triple Room,1,Jul-22,Family
Reviewed,Reviewed,8,Mirosław,Poland,Double Room with Balcony,4,Jun-22,Couple
Reviewed,Not Reviewed,8,Ελενη,Cyprus,Family Suite with Balcony,1,Jul-22,Group
Reviewed,Reviewed,8,Mariana,Romania,Double Room with Balcony,7,Jul-22,Couple
Reviewed,Reviewed,9,Larisa,Montenegro,Standard Triple Room,1,Jul-22,Family
Reviewed,Not Reviewed,10,Elizabeth,Norway,Family Suite with Balcony,2,Jul-22,Family
Reviewed,Reviewed,8,Véronique,Canada,Double Room with Balcony,1,Jun-22,Group
Reviewed,Reviewed,8,Alessandra,Italy,Budget Twin Room,2,Jun-22,Group
